fdc_id,description,brand_owner,food_category,Energy,Protein,"Carbohydrate, by difference",Total lipid (fat),"Fatty acids, total saturated","Fiber, total dietary",Total Sugars,"Sodium, Na"
2107828,CORN CEREAL,"Post Consumer Brands, LLC",Cereal,387.0,3.23,90.3,0.0,0.0,0.0,38.7,452.0
2091474,CORN CEREAL,The Kellogg Company ,Cereal,359.0,5.13,87.2,0.0,0.0,2.6,35.9,513.0
2442530,CORN CEREAL,Sky Blue Digital,Cereal,333.0,0.0,66.7,0.0,0.0,16.7,0.0,17.0
2017429,CORN CEREAL,Ambassador Cards,Cereal,379.0,6.9,82.8,0.0,0.0,0.0,31.0,431.0
562748,CORN CEREAL,"Wal-Mart Stores, Inc.",Cereal,395.0,2.33,88.4,4.65,0.0,2.3,48.8,349.0
2083831,FLAKES CEREAL,"Post Consumer Brands, LLC",Cereal,349.0,9.3,79.1,3.49,0.0,11.6,16.3,465.0
2626151,FROSTED CEREAL,"Post Consumer Brands, LLC",Cereal,400.0,5.0,85.0,5.0,0.0,5.0,27.5,450.0
1852660,FROSTED CEREAL,Royal Wine Corporation,Cereal,467.0,6.67,43.3,3.33,0.0,3.3,43.3,17.0
2089234,GRANOLA CEREAL,Glencourt Inc.,Cereal,400.0,9.09,80.0,4.55,0.0,5.5,25.4,364.0
1914207,GRANOLA CEREAL,"Wegmans Food Markets, Inc. ",Cereal,433.0,10.0,70.0,13.3,0.0,10.0,20.0,67.0
409997,GRANOLA CEREAL,NATURE'S PATH,Cereal,455.0,10.9,65.4,16.4,2.73,9.1,18.2,145.0
2070577,GRANOLA CEREAL,Food Town Stores Inc.,Cereal,431.0,12.1,65.5,15.5,3.45,8.6,19.0,103.0
2070654,GRANOLA CEREAL,Hannaford Bros. Co.,Cereal,431.0,12.1,65.5,15.5,3.45,8.6,19.0,103.0
1636237,HOT CEREAL,Kraft Heinz Foods Company,Cereal,333.0,12.1,72.7,0.0,0.0,3.0,3.03,303.0
1630747,HOT CEREAL,"Mondelez International, Inc.",Cereal,333.0,12.1,72.7,0.0,0.0,3.0,3.03,0.0
2673931,HOT CEREAL,Kraft Heinz Foods Company,Cereal,333.0,12.1,72.7,0.0,0.0,3.0,3.03,303.0
2617319,HOT CEREAL,Kraft Heinz Foods Company,Cereal,356.0,6.67,80.0,0.0,0.0,0.0,0.0,0.0
1636303,HOT CEREAL,"Mondelez International, Inc.",Cereal,333.0,12.1,72.7,0.0,0.0,3.0,3.03,0.0
2752074,Kix Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,400.0,7.5,85.0,2.5,0.0,7.5,10.0,550.0
2752152,Kix Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,400.0,7.5,85.0,2.5,0.0,7.5,10.0,550.0
2595978,MARSHMALLOWS CEREAL,The Kellogg Company ,Cereal,366.0,4.88,87.8,0.0,0.0,2.4,31.7,512.0
2614506,MINIS CEREAL,"General Mills, Inc.",Cereal,385.0,5.13,84.6,5.13,0.0,5.1,28.2,513.0
2017873,MULTIGRAIN CEREAL,"Post Consumer Brands, LLC",Cereal,367.0,6.67,83.3,1.67,0.0,10.0,16.7,67.0
2616196,MULTIGRAIN CEREAL,"Post Consumer Brands, LLC",Cereal,333.0,6.67,83.3,1.67,0.0,10.0,16.7,250.0
2470754,O'S CEREAL,"Post Consumer Brands, LLC",Cereal,400.0,3.33,83.3,5.0,0.0,3.3,43.3,500.0
2118100,OAT CEREAL,"Giant Eagle, Inc.",Cereal,400.0,13.3,76.7,3.33,0.0,10.0,6.67,533.0
2597449,ORGANIC CEREAL,Birkett Mills,Cereal,341.0,4.88,82.9,0.0,0.24,2.4,0.0,0.0
370655,ORGANIC CEREAL,NATURE'S PATH,Cereal,400.0,6.67,90.0,0.0,0.0,3.3,13.3,350.0
370632,ORGANIC CEREALS,NATURE'S PATH ORGANIC,Cereal,400.0,6.67,86.7,3.33,0.0,6.7,26.7,267.0
