fdc_id,description,brand_owner,serving_size,serving_size_unit,food_category,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy,Total Sugars,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn",Vitamin D (D2 + D3),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,Folic acid,"Sugars, added",Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Vitamin A, RAE","Vitamin A, IU",Pantothenic acid,"Vitamin D (D2 + D3), International Units","Copper, Cu","Manganese, Mn","Selenium, Se","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fiber, soluble","Carbohydrate, other","Fiber, insoluble",Total sugar alcohols,"Iodine, I",Vitamin D3 (cholecalciferol),Biotin,Vitamin K (phylloquinone),Vitamin E,"Folate, DFE",Ash,Water,Vitamin E (label entry primarily),"Chlorine, Cl","Chromium, Cr","Molybdenum, Mo",Starch,Vitamin E (alpha-tocopherol),"Sugars, Total","Alcohol, ethyl","Choline, total",Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,"Sugars, intrinsic"
2642006,CEREAL,"President Baking Company, Inc.",37.0,GRM,Cereal,5.41,0.0,89.2,351.0,32.4,2.7,0.0,19.5,,,81.0,514.0,,5.0,,1.0,0.919,10.8,1.08,324.0,3.24,189.0,32.4,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142860,CEREAL,The Kellogg Company ,59.0,g,Cereal,8.47,1.69,79.7,322.0,28.8,11.9,34.0,3.05,102.0,169.0,475.0,339.0,2.54,,,,,5.08,,,,,15.3,0.0,0.0,0.0,,,,0.0,0.678,3.0,12.0,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015814,CEREAL,Nature's Path Foods Inc.,30.0,g,Cereal,10.0,3.33,80.0,267.0,20.0,43.3,67.0,6.0,,,,433.0,,,0.0,,,,,,,,,0.0,0.0,0.0,,333.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140770,CEREAL,The Kellogg Company ,53.0,g,Cereal,5.66,1.89,84.9,358.0,37.7,7.5,0.0,8.49,75.0,189.0,396.0,396.0,2.83,,0.0,1.0,0.802,9.43,0.943,,2.83,,,0.0,0.0,0.0,,943.0,,75.0,0.302,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635920,CEREAL,"General Mills, Inc.",31.0,g,Cereal,6.45,3.23,83.9,387.0,29.0,6.5,323.0,14.5,26.0,129.0,210.0,774.0,12.1,,19.4,1.0,1.37,16.1,1.61,,4.84,,,0.0,0.0,0.0,,1610.0,,129.0,,,,1.61,1.61,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635964,CEREAL,"General Mills, Inc.",31.0,g,Cereal,6.45,3.23,83.9,387.0,29.0,6.5,323.0,14.5,26.0,129.0,210.0,774.0,12.1,,19.4,1.0,1.37,16.1,1.61,,4.84,,,0.0,0.0,0.0,,1610.0,,129.0,,,,1.61,1.61,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175559,CEREAL,The Kellogg Company ,37.0,g,Cereal,5.41,0.0,89.2,351.0,32.4,2.7,0.0,19.5,,,81.0,514.0,,,,1.0,0.919,10.8,1.08,324.0,3.24,189.0,32.4,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175879,CEREAL,The Kellogg Company ,29.0,g,Cereal,3.45,0.0,89.7,379.0,34.5,3.4,,15.5,,,,517.0,,,20.7,1.0,1.47,17.2,1.72,,,,,0.0,0.0,0.0,,1720.0,,138.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025357,CEREAL,"Schnuck Markets, Inc.",29.0,g,Cereal,3.45,3.45,86.2,379.0,37.9,10.3,345.0,15.5,28.0,69.0,103.0,466.0,12.9,,51.7,1.0,1.47,17.2,1.72,,5.17,,,0.0,0.0,0.0,,4310.0,,345.0,,,,0.0,0.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663505,CEREAL,The Kellogg Company ,29.0,g,Cereal,3.45,0.0,89.7,379.0,34.5,3.4,0.0,15.5,,,121.0,517.0,,,20.7,1.0,1.47,17.2,1.72,,5.17,,,0.0,0.0,0.0,,1720.0,,138.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702664,CEREAL,THE SOULFULL PROJECT,61.0,g,Cereal,11.5,19.7,65.6,492.0,14.8,9.8,131.0,2.95,,,,262.0,,,14.8,,,,,,,,,0.0,0.0,2.46,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070798,CEREAL,Raley's,59.0,g,Cereal,8.47,1.69,78.0,322.0,28.8,11.9,34.0,7.63,136.0,424.0,661.0,356.0,6.36,,0.0,1.0,0.72,8.48,0.847,,2.54,,,0.0,0.0,0.0,,2120.0,,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
